candidate_rank,source_trial_index,alpha,gamma,target_final_epsilon,risk_t1,risk_window,epsilon_decay,epsilon_min,stage1_objective_mean,stage1_total_reward_mean,objective_mean,objective_std,total_reward_mean,total_reward_std,late_order_fraction_mean,n_valid_replications,best_training_reward,best_training_episode,best_training_seed,best_evaluation_reward,best_evaluation_replication,best_evaluation_seed,q_table_size,candidate_dir,q_table_path
1,20,0.0057414252433156,0.8130354711803862,0.0005,175.214912,758.004,0.999240198549462,0.0005,-346.2,346.2,-364.1666666666667,312.33239183361326,364.1666666666667,312.33239183361326,0.4193585046431714,30,1590.0,3549,3761345,1243.0,26,338345,25,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_high/stage2/candidate_rank_01_trial_020,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_high/stage2/candidate_rank_01_trial_020/q_table.pkl
10,48,0.0692211342423021,0.99,0.0005,175.214912,758.004,0.999240198549462,0.0005,-340.2,340.2,-363.5,319.7406006814554,363.5,319.7406006814554,0.4195508180921292,30,1367.0,1707,1919345,1203.0,26,338345,25,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_high/stage2/candidate_rank_10_trial_048,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_high/stage2/candidate_rank_10_trial_048/q_table.pkl
3,23,0.0069629456870716,0.8913483713073416,0.0005,175.214912,758.004,0.999240198549462,0.0005,-346.2,346.2,-360.8333333333333,315.53862907222884,360.8333333333333,315.53862907222884,0.4199705900570471,30,1387.0,1707,1919345,1243.0,26,338345,25,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_high/stage2/candidate_rank_03_trial_023,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_high/stage2/candidate_rank_03_trial_023/q_table.pkl
7,69,0.0105163623980929,0.9774095765013032,0.0005,175.214912,758.004,0.999240198549462,0.0005,-346.2,346.2,-358.1666666666667,316.41603814503827,358.1666666666667,316.41603814503827,0.4204158882125148,30,1466.0,7830,8042345,1203.0,26,338345,25,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_high/stage2/candidate_rank_07_trial_069,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_high/stage2/candidate_rank_07_trial_069/q_table.pkl
2,26,0.0073309543641194,0.8418607332454482,0.0005,175.214912,758.004,0.999240198549462,0.0005,-346.2,346.2,-348.1666666666667,331.8742058457498,348.1666666666667,331.8742058457498,0.42232511455317273,30,1590.0,3549,3761345,1203.0,26,338345,25,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_high/stage2/candidate_rank_02_trial_026,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_high/stage2/candidate_rank_02_trial_026/q_table.pkl
4,46,0.0069161841855642,0.8,0.0005,175.214912,758.004,0.999240198549462,0.0005,-346.2,346.2,-342.1666666666667,320.34971013192626,342.1666666666667,320.34971013192626,0.4233004008006121,30,1570.0,3549,3761345,1203.0,26,338345,26,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_high/stage2/candidate_rank_04_trial_046,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_high/stage2/candidate_rank_04_trial_046/q_table.pkl
5,59,0.0084658350018223,0.8821659583571999,0.0005,175.214912,758.004,0.999240198549462,0.0005,-346.2,346.2,-172.16666666666666,317.2921077007674,172.16666666666666,317.2921077007674,0.4535768499481952,30,1426.0,7830,8042345,983.0,26,338345,26,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_high/stage2/candidate_rank_05_trial_059,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_high/stage2/candidate_rank_05_trial_059/q_table.pkl
6,70,0.0110494978603177,0.9137254620913556,0.0005,175.214912,758.004,0.999240198549462,0.0005,-346.2,346.2,-166.83333333333334,321.32882323824947,166.83333333333334,321.32882323824947,0.4545265207222734,30,1446.0,7830,8042345,963.0,26,338345,25,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_high/stage2/candidate_rank_06_trial_070,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_high/stage2/candidate_rank_06_trial_070/q_table.pkl
8,67,0.0088995672042782,0.9529965546819856,0.0005,175.214912,758.004,0.999240198549462,0.0005,-346.2,346.2,-156.83333333333334,326.8372033157553,156.83333333333334,326.8372033157553,0.4563874724226025,30,1547.0,1707,1919345,903.0,26,338345,25,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_high/stage2/candidate_rank_08_trial_067,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_high/stage2/candidate_rank_08_trial_067/q_table.pkl
9,93,0.0403844586757387,0.8414239282041848,0.0005,175.214912,758.004,0.999240198549462,0.0005,-344.2,344.2,-123.5,302.20497154677355,123.5,302.20497154677355,0.4622082691525603,30,1466.0,7830,8042345,763.0,26,338345,27,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_high/stage2/candidate_rank_09_trial_093,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc_gamma_high/stage2/candidate_rank_09_trial_093/q_table.pkl
