episode,training_seed,q_table_size,best_total_reward_so_far,alpha,gamma,epsilon_decay,epsilon_min,risk_t1,risk_window,random_seed,run_duration,due_date_lower_bound,due_date_upper_bound,rate_multiplier,risk_t2,agent_type,training,fixed_action,msg,n_orders_created,n_orders_completed,n_orders_in_date,n_orders_late,late_order_fraction,time_in_system_mean,time_in_system_std,time_in_system_min,time_in_system_max,wip_mean,wip_max,total_reward,n_eval_failures,n_decision_points,action_0_count,action_1_count,action_2_count,action_3_count,epsilon,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity,label,error
0,212345,10,273.0,0.4687951052188873,0.8330836376268417,0.9997092041088268,0.0488349497038871,94.69089651480316,269.9492330197245,212345,1440.0,4,8,0.9,364.64012953452766,q_learning,True,,simulation ended,563,278,157,121,0.4352517985611511,342.56862155316065,193.07113961481048,10.933230869630583,847.726215164129,137.650641715185,286,273.0,29,363,90,94,81,98,1.0,1,1,1,1,1,1,1,,
1,213345,12,273.0,0.4687951052188873,0.8330836376268417,0.9997092041088268,0.0488349497038871,94.69089651480316,269.9492330197245,213345,1440.0,4,8,0.9,364.64012953452766,q_learning,True,,simulation ended,563,281,126,155,0.5516014234875445,381.92304146738405,218.73472374849868,11.144451947627218,878.9399111451447,148.4298230892036,283,-374.0,28,358,77,95,102,84,0.9997092041088268,1,1,1,1,1,1,1,,
2,214345,14,273.0,0.4687951052188873,0.8330836376268417,0.9997092041088268,0.0488349497038871,94.69089651480316,269.9492330197245,214345,1440.0,4,8,0.9,364.64012953452766,q_learning,True,,simulation ended,607,276,125,151,0.5471014492753623,396.69578988774754,225.56010009901357,11.15922237361476,921.6194136476797,165.5248701235322,331,-362.0,34,359,85,92,87,95,0.9994184927799039,1,1,1,1,1,1,1,,
3,215345,14,273.0,0.4687951052188873,0.8330836376268417,0.9997092041088268,0.0488349497038871,94.69089651480316,269.9492330197245,215345,1440.0,4,8,0.9,364.64012953452766,q_learning,True,,simulation ended,566,274,120,154,0.5620437956204379,423.88586303227356,241.3338249287538,13.97865592152119,926.2676962493958,161.15841684163917,296,-433.0,31,358,89,72,102,95,0.999127865988641,1,1,1,1,1,1,1,,
4,216345,16,273.0,0.4687951052188873,0.8330836376268417,0.9997092041088268,0.0488349497038871,94.69089651480316,269.9492330197245,216345,1440.0,4,8,0.9,364.64012953452766,q_learning,True,,simulation ended,559,277,137,140,0.5054151624548736,375.59728537500564,203.43373441589821,10.280748546978902,843.4602138119737,146.53615878575187,282,-129.0,33,354,82,94,101,77,0.9988373237104549,1,1,1,1,1,1,1,,
5,217345,16,273.0,0.4687951052188873,0.8330836376268417,0.9997092041088268,0.0488349497038871,94.69089651480316,269.9492330197245,217345,1440.0,4,8,0.9,364.64012953452766,q_learning,True,,simulation ended,520,277,142,135,0.48736462093862815,377.93523421142254,208.7476491987345,19.669294938863175,886.8264080936901,134.778818140558,243,-29.0,33,363,89,92,94,88,0.9985468659207695,1,1,1,1,1,1,1,,
6,218345,16,273.0,0.4687951052188873,0.8330836376268417,0.9997092041088268,0.0488349497038871,94.69089651480316,269.9492330197245,218345,1440.0,4,8,0.9,364.64012953452766,q_learning,True,,simulation ended,570,280,127,153,0.5464285714285714,404.5193107312345,226.19283454796116,11.89061371139483,947.1595751523587,153.09556150193993,290,-362.0,34,353,107,75,86,85,0.9982564925950158,1,1,1,1,1,1,1,,
7,219345,16,273.0,0.4687951052188873,0.8330836376268417,0.9997092041088268,0.0488349497038871,94.69089651480316,269.9492330197245,219345,1440.0,4,8,0.9,364.64012953452766,q_learning,True,,simulation ended,575,274,140,134,0.48905109489051096,347.1380248038877,215.3698939771246,12.058029675190001,851.0368404381304,143.92091364009275,301,-51.0,37,356,85,83,96,92,0.9979662037086322,1,1,1,1,1,1,1,,
8,220345,17,273.0,0.4687951052188873,0.8330836376268417,0.9997092041088268,0.0488349497038871,94.69089651480316,269.9492330197245,220345,1440.0,4,8,0.9,364.64012953452766,q_learning,True,,simulation ended,589,288,133,155,0.5381944444444444,383.2859939493694,219.91215504876803,9.283860017249422,771.3094923855182,162.54815985747766,301,-289.0,23,359,91,85,84,99,0.9976759992370641,1,1,1,1,1,1,1,,
9,221345,18,273.0,0.4687951052188873,0.8330836376268417,0.9997092041088268,0.0488349497038871,94.69089651480316,269.9492330197245,221345,1440.0,4,8,0.9,364.64012953452766,q_learning,True,,simulation ended,591,287,137,150,0.5226480836236934,375.5550070865623,234.7236222719242,9.787909181712603,959.3897529222279,157.03966180786122,304,-193.0,21,359,81,92,106,80,0.9973858791557638,1,1,1,1,1,1,1,,
10,222345,18,273.0,0.4687951052188873,0.8330836376268417,0.9997092041088268,0.0488349497038871,94.69089651480316,269.9492330197245,222345,1440.0,4,8,0.9,364.64012953452766,q_learning,True,,simulation ended,569,274,111,163,0.5948905109489051,415.5159353185924,217.77652972189543,13.678484206979455,816.8176986834178,158.3912279723858,296,-607.0,29,352,85,102,91,74,0.9970958434401912,1,1,1,1,1,1,1,,
11,223345,18,273.0,0.4687951052188873,0.8330836376268417,0.9997092041088268,0.0488349497038871,94.69089651480316,269.9492330197245,223345,1440.0,4,8,0.9,364.64012953452766,q_learning,True,,simulation ended,548,282,145,137,0.4858156028368794,348.8282891153434,192.92067675347738,9.797021738823169,836.4611014919623,127.71923702297609,266,-10.0,30,353,91,90,85,87,0.9968058920658129,1,1,1,1,1,1,1,,
12,224345,18,273.0,0.4687951052188873,0.8330836376268417,0.9997092041088268,0.0488349497038871,94.69089651480316,269.9492330197245,224345,1440.0,4,8,0.9,364.64012953452766,q_learning,True,,simulation ended,551,271,126,145,0.5350553505535055,381.80218980517753,215.03055834239956,11.669811575629993,895.867162014605,136.2953549376693,281,-319.0,43,355,97,69,83,106,0.996516025008103,1,1,1,1,1,1,1,,
13,225345,18,273.0,0.4687951052188873,0.8330836376268417,0.9997092041088268,0.0488349497038871,94.69089651480316,269.9492330197245,225345,1440.0,4,8,0.9,364.64012953452766,q_learning,True,,simulation ended,576,289,147,142,0.4913494809688581,356.45661897348964,195.99194403672414,11.81727032503918,679.8882769881607,139.80352588655072,287,-22.0,24,361,98,88,95,80,0.9962262422425424,1,1,1,1,1,1,1,,
14,226345,18,273.0,0.4687951052188873,0.8330836376268417,0.9997092041088268,0.0488349497038871,94.69089651480316,269.9492330197245,226345,1440.0,4,8,0.9,364.64012953452766,q_learning,True,,simulation ended,584,275,134,141,0.5127272727272727,367.8000313911893,214.65633940536827,8.724120623498804,885.2642192103766,147.7804338092262,309,-148.0,26,357,79,89,90,99,0.9959365437446194,1,1,1,1,1,1,1,,
15,227345,18,273.0,0.4687951052188873,0.8330836376268417,0.9997092041088268,0.0488349497038871,94.69089651480316,269.9492330197245,227345,1440.0,4,8,0.9,364.64012953452766,q_learning,True,,simulation ended,615,288,129,159,0.5520833333333334,402.4895177176293,227.2702250280196,24.575305908197024,982.2127136640885,169.63724911391915,327,-381.0,27,358,88,79,109,82,0.9956469294898292,1,1,1,1,1,1,1,,
16,228345,18,273.0,0.4687951052188873,0.8330836376268417,0.9997092041088268,0.0488349497038871,94.69089651480316,269.9492330197245,228345,1440.0,4,8,0.9,364.64012953452766,q_learning,True,,simulation ended,575,281,148,133,0.47330960854092524,359.7872761111893,209.91631823245078,12.452131667058971,865.2483045294725,148.4449265023124,294,78.0,24,357,90,99,76,92,0.9953573994536744,1,1,1,1,1,1,1,,
