trial_index,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity,objective_mean,objective_std,n_valid_replications,n_orders_completed_mean,n_orders_late_mean,late_order_fraction_mean,time_in_system_mean_mean,wip_mean_mean
0,4,2,1,5,1,3,9,-2868.0240069051506,975.2318164590723,5,316.0,0.6,0.0017441860465116279,184.97599309484957,87.36699031515472
1,1,4,4,3,5,3,3,-4990.959377128406,101.37131094056957,5,506.8,0.0,0.0,22.040622871594618,7.830999764000035
2,3,1,3,4,3,2,8,-2232.3000577408334,757.5205637235617,5,318.8,12.2,0.0385817804692553,273.6999422591665,99.8286780194812
3,3,4,4,1,3,4,1,-890.4046547244158,486.1602521684145,5,205.0,17.2,0.06286052528347001,256.5953452755842,140.5616330279693
4,4,1,5,1,2,4,7,-2408.8289918765613,389.1018513506742,5,317.0,8.2,0.025819612734154496,282.1710081234386,96.61768345967728
5,2,3,2,3,4,2,3,-4923.390718323976,221.84861447388423,5,499.2,0.0,0.0,21.609281676023734,7.553106506523095
6,1,2,3,2,4,1,8,-4810.106645935936,228.79031885952995,5,490.0,0.0,0.0,23.893354064063107,8.220366016939233
7,5,5,2,4,1,5,5,-4761.607407039282,273.54389514317614,5,485.2,0.0,0.0,21.392592960718016,7.264250555291713
8,5,1,3,3,5,5,6,-2716.500782449715,168.88255412204816,5,317.0,2.2,0.006871964581421799,269.49921755028475,91.21721736099646
9,1,4,2,1,1,1,2,-4074.4573781266736,1171.216042973883,5,414.0,0.0,0.0,35.54262187332593,28.59441351265523
10,2,2,5,5,3,3,9,-4742.204349230881,254.647169059632,5,485.0,0.0,0.0,22.79565076911836,7.791632304169989
11,4,5,1,2,4,3,5,-3482.2118968659024,131.8322204540524,5,372.6,0.0,0.0,180.78810313409792,64.47745007670599
12,3,3,3,2,4,5,10,-4847.889320607971,143.46137904594787,5,495.8,0.0,0.0,20.110679392029734,6.984777672912711
13,3,5,4,5,2,1,4,-4822.095205449659,141.602671162504,5,490.2,0.0,0.0,19.904794550340714,6.811328467199742
14,1,3,3,4,4,2,6,-4860.221684839167,89.435152712779,5,494.6,0.0,0.0,21.778315160831898,7.55044531762722
15,2,3,4,3,5,3,8,-5023.793634798609,175.4420187307784,5,512.4,0.0,0.0,20.206365201391442,7.248638570861452
16,1,4,3,3,4,3,8,-4796.449243535668,234.5233535819365,5,489.4,0.0,0.0,21.550756464332153,7.369905725211839
17,2,4,5,5,3,4,6,-4808.146316989964,164.29042638877903,5,490.4,0.0,0.0,19.85368301003487,6.796320038399969
18,1,3,1,3,5,1,2,-3248.9711452995643,111.39352405020121,5,359.8,1.2,0.003292464526794324,251.0288547004359,87.30871879537115
19,2,4,4,5,2,2,5,-4853.113743402759,314.43538445813425,5,493.6,0.0,0.0,19.88625659724182,6.884120388130306
20,2,4,4,4,5,2,3,-4930.259803359651,247.50319775698625,5,500.8,0.0,0.0,20.740196640347893,7.285430971092135
21,1,3,3,3,4,3,3,-4837.338458317963,226.87070996125394,5,490.8,0.0,0.0,21.661541682037388,7.440496747218802
22,2,3,2,2,4,5,9,-4805.1315178135665,95.67006254814169,5,490.8,0.0,0.0,21.86848218643416,7.499217476730445
23,2,4,3,3,3,3,4,-4975.604467066429,282.3405060068114,5,505.2,0.0,0.0,20.39553293357118,7.20608404011449
24,1,3,5,4,4,2,7,-4807.714379296465,184.98898414448243,5,490.2,0.0,0.0,21.285620703534544,7.321493558960699
25,1,4,1,1,1,3,5,-2269.462173385233,1259.3010883871439,5,243.6,0.0,0.0,119.53782661476684,98.27162916112839
26,1,5,1,4,5,2,1,-1367.1753759922872,332.4426902879576,5,284.2,22.2,0.07800074815331318,323.8246240077128,113.81069017029654
27,2,3,3,3,5,1,9,-4800.941001657823,353.49955828264166,5,490.0,0.0,0.0,20.058998342177674,6.92084312865727
28,1,4,4,4,5,5,6,-4848.513729808292,167.59474781499236,5,494.6,0.0,0.0,21.486270191708673,7.4408491823516645
29,3,4,3,4,4,5,7,-4820.881691810977,103.38723585810915,5,492.2,0.0,0.0,20.118308189023388,6.91151835874936
