random_seed,run_duration,due_date_lower_bound,due_date_upper_bound,rate_multiplier,agent_type,training,fixed_action,msg,n_orders_created,n_orders_completed,n_orders_in_date,n_orders_late,late_order_fraction,time_in_system_mean,time_in_system_std,time_in_system_min,time_in_system_max,wip_mean,wip_max,total_reward,n_eval_failures,n_decision_points,action_0_count,action_1_count,action_2_count,action_3_count,epsilon,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity,error,baseline_rule,replication
12345,1440,4,8,0.9,baseline,False,0,simulation ended,602,277,120,157,0.5667870036101083,401.1952534260632,214.411436894814,12.512637698939916,1078.5528268778294,165.68087915298884,325,-490.0,40,354,354,0,0,0,,1,1,1,1,1,1,1,,FIFO,0
13345,1440,4,8,0.9,baseline,False,0,simulation ended,577,292,146,146,0.5,368.05858915532247,202.1399236868495,11.58444346698562,853.3658149329332,142.62084486157678,285,-75.0,25,357,357,0,0,0,,1,1,1,1,1,1,1,,FIFO,1
14345,1440,4,8,0.9,baseline,False,0,simulation ended,587,273,145,128,0.46886446886446886,348.56430455990636,207.50687232904562,10.32019187629994,972.2107548487149,147.34088487116105,314,59.0,37,357,357,0,0,0,,1,1,1,1,1,1,1,,FIFO,2
15345,1440,4,8,0.9,baseline,False,0,simulation ended,527,283,157,126,0.4452296819787986,324.3547654329196,171.36394758088343,18.139565521196634,836.9783145319756,119.22836361820058,246,214.0,32,359,359,0,0,0,,1,1,1,1,1,1,1,,FIFO,3
16345,1440,4,8,0.9,baseline,False,0,simulation ended,567,285,134,151,0.5298245614035088,368.2447462299111,218.0737877529871,13.898712106025977,969.9686125610151,142.18755490167996,282,-236.0,22,356,356,0,0,0,,1,1,1,1,1,1,1,,FIFO,4
17345,1440,4,8,0.9,baseline,False,0,simulation ended,586,279,157,122,0.43727598566308246,348.7895748367618,198.75904950748637,9.526570305955616,969.694610159911,147.69037954113443,308,257.0,31,363,363,0,0,0,,1,1,1,1,1,1,1,,FIFO,5
18345,1440,4,8,0.9,baseline,False,0,simulation ended,532,279,128,151,0.5412186379928315,365.6372079612237,238.39150424305691,15.489411378627079,1300.8889083777835,140.91383501297022,254,-341.0,37,351,351,0,0,0,,1,1,1,1,1,1,1,,FIFO,6
19345,1440,4,8,0.9,baseline,False,0,simulation ended,566,279,127,152,0.5448028673835126,379.03053216981647,214.37667125698064,11.998282254251784,1054.2715264997883,153.03665940922596,288,-355.0,35,357,357,0,0,0,,1,1,1,1,1,1,1,,FIFO,7
20345,1440,4,8,0.9,baseline,False,0,simulation ended,565,283,142,141,0.49823321554770317,352.34819982887075,210.4599003925949,19.00250376282821,1087.2312627445488,143.14539756954343,283,-62.0,24,356,356,0,0,0,,1,1,1,1,1,1,1,,FIFO,8
21345,1440,4,8,0.9,baseline,False,0,simulation ended,542,274,133,141,0.5145985401459854,377.02692245055107,219.95849021108202,18.20537503899542,1065.1349570955106,146.22677908274846,268,-185.0,35,358,358,0,0,0,,1,1,1,1,1,1,1,,FIFO,9
22345,1440,4,8,0.9,baseline,False,0,simulation ended,536,278,154,124,0.4460431654676259,341.7508602887723,190.94428144330644,12.001010363628563,906.975652658366,127.68569406282194,258,201.0,33,353,353,0,0,0,,1,1,1,1,1,1,1,,FIFO,10
23345,1440,4,8,0.9,baseline,False,0,simulation ended,512,280,159,121,0.43214285714285716,334.440208947852,182.88413467174354,11.173933379080426,988.7352762162218,121.21026601172981,234,266.0,38,358,358,0,0,0,,1,1,1,1,1,1,1,,FIFO,11
24345,1440,4,8,0.9,baseline,False,0,simulation ended,564,265,135,130,0.49056603773584906,342.30651082399623,206.23759828026806,11.484462037843617,1023.1039289536363,139.6535122163936,301,-52.0,34,355,355,0,0,0,,1,1,1,1,1,1,1,,FIFO,12
25345,1440,4,8,0.9,baseline,False,0,simulation ended,532,283,157,126,0.4452296819787986,330.1054987748868,186.1669071566994,12.22641091125418,911.65213866662,122.42842406856347,249,211.0,33,357,357,0,0,0,,1,1,1,1,1,1,1,,FIFO,13
