random_seed,run_duration,due_date_lower_bound,due_date_upper_bound,rate_multiplier,agent_type,training,fixed_action,msg,n_orders_created,n_orders_completed,n_orders_in_date,n_orders_late,late_order_fraction,time_in_system_mean,time_in_system_std,time_in_system_min,time_in_system_max,wip_mean,wip_max,total_reward,n_eval_failures,n_decision_points,action_0_count,action_1_count,action_2_count,action_3_count,epsilon,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity,error,replication,q_table_size
312345,1440,4,8,0.9,q_learning,False,,simulation ended,487,271,168,103,0.3800738007380074,310.32177796081766,181.1970148714897,8.950989732365354,909.783566413669,109.3254777929539,217,548.0,34,350,189,1,157,3,0.05,1,1,1,1,1,1,1,,0,23
313345,1440,4,8,0.9,q_learning,False,,simulation ended,562,280,149,131,0.46785714285714286,335.37554245579213,195.96625084749465,17.187548032176835,1006.3077196225072,135.416784777984,282,87.0,31,357,201,12,144,0,0.05,1,1,1,1,1,1,1,,1,23
314345,1440,4,8,0.9,q_learning,False,,simulation ended,561,276,143,133,0.48188405797101447,368.6278755345183,224.31879112700963,12.633594345573625,1145.466887489801,148.05837788147468,286,7.0,31,359,217,24,114,4,0.05,1,1,1,1,1,1,1,,2,23
315345,1440,4,8,0.9,q_learning,False,,simulation ended,526,288,159,129,0.4479166666666667,330.3345012456918,198.17287002876452,11.067006805049784,727.2073200717732,124.84367175576061,239,234.0,22,359,166,40,62,91,0.05,1,1,1,1,1,1,1,,3,23
316345,1440,4,8,0.9,q_learning,False,,simulation ended,584,281,138,143,0.5088967971530249,362.60515018726846,213.15426509154253,18.396518633717015,1076.0385424784645,152.08948657422883,304,-149.0,33,357,196,21,113,27,0.05,1,1,1,1,1,1,1,,4,23
317345,1440,4,8,0.9,q_learning,False,,simulation ended,527,277,150,127,0.4584837545126354,339.2619939859913,205.93512221051918,10.790077922669727,872.1467456237366,126.39784038075321,251,140.0,30,352,46,84,7,215,0.05,1,1,1,1,1,1,1,,5,23
318345,1440,4,8,0.9,q_learning,False,,simulation ended,552,282,142,140,0.49645390070921985,351.798365482665,208.80034644766235,8.83969723567143,790.1855977833488,130.76134924175673,271,-73.0,31,360,132,24,12,192,0.05,1,1,1,1,1,1,1,,6,23
319345,1440,4,8,0.9,q_learning,False,,simulation ended,552,278,136,142,0.5107913669064749,343.532940576478,204.98517462736868,11.613480675584368,787.2219137876621,132.63484639295993,274,-153.0,31,357,114,170,49,24,0.05,1,1,1,1,1,1,1,,7,23
320345,1440,4,8,0.9,q_learning,False,,simulation ended,567,283,142,141,0.49823321554770317,369.51718349851234,238.7058476577324,14.103620939431089,924.2085545151019,150.57266652830006,285,-83.0,31,358,78,68,19,193,0.05,1,1,1,1,1,1,1,,8,23
321345,1440,4,8,0.9,q_learning,False,,simulation ended,572,276,143,133,0.48188405797101447,352.6288896864117,218.02524884727907,12.324706307787704,881.0134353766297,142.01650264372986,297,4.0,32,354,58,27,4,265,0.05,1,1,1,1,1,1,1,,9,23
322345,1440,4,8,0.9,q_learning,False,,simulation ended,561,297,196,101,0.3400673400673401,312.7628784502951,204.5767255774153,12.841325965380715,976.4000349894604,126.82927581498983,264,881.0,23,351,211,123,14,3,0.05,1,1,1,1,1,1,1,,10,23
323345,1440,4,8,0.9,q_learning,False,,simulation ended,527,255,115,140,0.5490196078431373,402.63847968423164,223.51150813597818,9.889845300335054,1109.199492898228,148.23287656560672,274,-349.0,33,351,292,53,4,2,0.05,1,1,1,1,1,1,1,,11,23
324345,1440,4,8,0.9,q_learning,False,,simulation ended,539,278,158,120,0.4316546762589928,331.6178225812488,176.48434015549583,11.679415142383341,784.6547630473733,120.2577648862026,262,305.0,25,358,286,60,2,10,0.05,1,1,1,1,1,1,1,,12,23
325345,1440,4,8,0.9,q_learning,False,,simulation ended,573,278,146,132,0.4748201438848921,367.61188201445185,213.465533972848,11.314777878645003,1078.6125470411728,150.52665345943666,295,50.0,30,357,281,62,6,8,0.05,1,1,1,1,1,1,1,,13,23
326345,1440,4,8,0.9,q_learning,False,,simulation ended,535,281,163,118,0.4199288256227758,343.1771836038766,206.54151738566804,11.82614240193756,1020.7929499066538,133.06154947202782,255,348.0,34,357,251,65,3,38,0.05,1,1,1,1,1,1,1,,14,23
