random_seed,run_duration,due_date_lower_bound,due_date_upper_bound,rate_multiplier,agent_type,training,fixed_action,msg,n_orders_created,n_orders_completed,n_orders_in_date,n_orders_late,late_order_fraction,time_in_system_mean,time_in_system_std,time_in_system_min,time_in_system_max,wip_mean,wip_max,total_reward,n_eval_failures,n_decision_points,action_0_count,action_1_count,action_2_count,action_3_count,epsilon,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity,error,replication
112345,1440,4,8,0.9,random,False,,simulation ended,530,283,149,134,0.4734982332155477,358.72497772688564,210.87453496616587,12.09578739296793,796.7039966867717,134.86045760853406,248,66.0,28,355,92,95,89,79,,1,1,1,1,1,1,1,,0
113345,1440,4,8,0.9,random,False,,simulation ended,585,282,137,145,0.5141843971631206,383.5599663509848,220.73100190594178,16.91069477784932,905.1582040613666,154.4617322382364,306,-164.0,28,357,88,93,87,89,,1,1,1,1,1,1,1,,1
114345,1440,4,8,0.9,random,False,,simulation ended,505,275,142,133,0.48363636363636364,347.94578541100725,200.48833655464108,12.075053098805366,954.6264846085911,123.16650947255148,231,-18.0,36,358,86,93,93,86,,1,1,1,1,1,1,1,,2
115345,1440,4,8,0.9,random,False,,simulation ended,615,276,112,164,0.5942028985507246,423.8139206832299,235.98664550724973,15.749464977933506,883.7793571112811,180.82758606374455,342,-604.0,28,357,85,96,80,96,,1,1,1,1,1,1,1,,3
116345,1440,4,8,0.9,random,False,,simulation ended,550,280,163,117,0.41785714285714287,336.00788340756884,198.1534283231244,11.751543516831767,842.801253923978,129.04243204773474,271,382.0,26,356,86,94,95,81,,1,1,1,1,1,1,1,,4
117345,1440,4,8,0.9,random,False,,simulation ended,574,292,166,126,0.4315068493150685,331.5460407403003,197.3930502905858,9.702440938355899,751.9317726233162,127.84037932354633,282,337.0,21,358,96,75,90,97,,1,1,1,1,1,1,1,,5
118345,1440,4,8,0.9,random,False,,simulation ended,548,280,134,146,0.5214285714285715,353.25743531585624,188.34884423961836,11.696908245125709,782.2828949927649,136.3068614740149,268,-192.0,24,354,86,96,94,78,,1,1,1,1,1,1,1,,6
119345,1440,4,8,0.9,random,False,,simulation ended,568,285,112,173,0.6070175438596491,390.5886598472193,180.00892945682764,18.478273998054952,775.6568893573426,145.6274758429405,283,-697.0,29,355,96,88,101,70,,1,1,1,1,1,1,1,,7
120345,1440,4,8,0.9,random,False,,simulation ended,561,282,148,134,0.475177304964539,346.48207390942247,212.4483476626146,11.433804829753646,856.9754719970653,139.71673583982636,279,59.0,27,354,79,84,103,88,,1,1,1,1,1,1,1,,8
121345,1440,4,8,0.9,random,False,,simulation ended,573,275,143,132,0.48,369.7442552934145,213.85398041376482,19.81162703974909,903.0655431736759,147.81783309035484,298,17.0,31,355,82,86,86,101,,1,1,1,1,1,1,1,,9
